date,ten_yr,three_mo
2011-06-09,21.57,32.8
2011-06-10,21.29,33.29
2011-06-13,22.01,32.87
2011-06-14,22.19,32.74
2011-06-15,22.0,33.03
2011-06-16,21.56,34.21
2011-06-17,21.29,35.77
2011-06-20,20.94,36.49
2011-06-21,20.41,36.87
2011-06-22,19.77,37.59
2011-06-23,19.82,37.81
2011-06-24,19.43,38.32
2011-06-27,19.54,38.22
2011-06-28,19.44,38.59
2011-06-29,19.64,38.94
2011-06-30,19.53,39.11
2011-07-01,19.68,39.98
2011-07-04,19.67,40.47
2011-07-05,19.47,40.02
2011-07-06,19.71,39.92
2011-07-07,20.11,40.59
2011-07-08,20.64,41.13
2011-07-11,21.32,41.17
2011-07-12,21.18,41.81
2011-07-13,20.88,41.73
2011-07-14,20.06,41.46
2011-07-15,19.37,41.57
2011-07-18,18.87,41.86
2011-07-19,18.42,41.9
2011-07-20,17.89,40.54
2011-07-21,17.02,41.05
2011-07-22,15.21,42.01
2011-07-25,13.26,42.39
2011-07-26,12.0,43.81
2011-07-27,9.97,45.16
2011-07-28,8.18,47.61
2011-07-29,7.65,50.93
2011-08-01,7.37,54.52
2011-08-02,7.01,58.1
2011-08-03,6.37,61.65
2011-08-04,4.99,65.15
2011-08-05,3.42,68.46
2011-08-08,1.59,72.92
2011-08-09,0.4,75.55
2011-08-10,-0.09,78.28
2011-08-11,-0.45,81.12
2011-08-12,-1.1,83.11
2011-08-15,-0.97,85.17
2011-08-16,-0.72,86.45
2011-08-17,-0.86,86.36
2011-08-18,-1.56,86.17
2011-08-19,-1.84,86.91
2011-08-22,-1.85,87.08
2011-08-23,-1.3,87.08
2011-08-24,-0.86,87.73
2011-08-25,0.05,87.03
2011-08-26,1.01,86.16
2011-08-29,1.79,85.37
2011-08-30,2.23,83.65
2011-08-31,2.08,83.07
2011-09-01,2.66,81.83
2011-09-02,3.43,80.89
2011-09-05,4.36,80.32
2011-09-06,5.77,79.0
2011-09-07,6.86,78.65
2011-09-08,7.5,77.86
2011-09-09,8.42,76.75
2011-09-12,9.78,75.72
2011-09-13,11.17,75.12
2011-09-14,12.32,75.17
2011-09-15,14.37,75.23
2011-09-16,16.71,75.68
2011-09-19,18.96,74.85
2011-09-20,19.88,74.93
2011-09-21,20.42,74.79
2011-09-22,20.43,74.97
2011-09-23,20.2,76.07
2011-09-26,21.51,75.71
2011-09-27,23.14,75.77
2011-09-28,24.4,76.07
2011-09-29,25.58,76.43
2011-09-30,26.15,76.93
2011-10-03,27.07,77.28
2011-10-04,26.59,76.89
2011-10-05,27.12,76.91
2011-10-06,27.87,76.86
2011-10-07,29.25,76.8
2011-10-10,30.53,76.29
2011-10-11,31.11,76.58
2011-10-12,32.1,76.58
2011-10-13,31.28,76.48
2011-10-14,30.5,76.33
2011-10-17,29.78,76.03
2011-10-18,29.71,76.01
2011-10-19,29.45,76.32
2011-10-20,28.88,75.93
2011-10-21,29.45,76.49
2011-10-24,28.38,77.38
2011-10-25,27.29,78.76
2011-10-26,25.99,79.93
2011-10-27,24.57,81.32
2011-10-28,22.97,81.55
2011-10-31,22.29,81.34
2011-11-01,22.41,81.67
2011-11-02,22.01,81.67
2011-11-03,21.5,82.29
2011-11-04,21.48,82.95
2011-11-07,21.91,83.06
2011-11-08,22.65,84.28
2011-11-09,23.01,84.91
2011-11-10,24.18,84.65
2011-11-11,25.43,84.65
2011-11-14,26.89,84.07
2011-11-15,28.57,83.88
2011-11-16,31.73,83.59
2011-11-17,33.05,83.85
2011-11-18,34.57,84.22
2011-11-21,36.87,85.15
2011-11-22,38.79,85.22
2011-11-23,39.1,85.13
2011-11-24,39.46,85.28
2011-11-25,39.44,84.88
2011-11-28,39.36,84.34
2011-11-29,39.06,83.54
2011-11-30,38.78,82.78
2011-12-01,37.96,82.7
2011-12-02,37.17,82.9
2011-12-05,35.94,83.74
2011-12-06,34.41,84.7
2011-12-07,32.35,84.85
2011-12-08,30.65,84.51
2011-12-09,29.33,84.91
2011-12-12,28.54,85.02
2011-12-13,28.06,85.15
2011-12-14,28.13,85.34
2011-12-15,28.39,86.09
2011-12-16,28.81,87.62
2011-12-19,29.25,88.06
2011-12-20,30.23,88.23
2011-12-21,30.79,87.9
2011-12-22,30.76,87.1
2011-12-23,31.81,86.04
2011-12-26,33.2,84.8
2011-12-27,33.82,83.63
2011-12-28,34.75,82.39
2011-12-29,35.41,80.78
2011-12-30,35.59,79.24
2012-01-02,35.44,77.48
2012-01-03,35.46,75.17
2012-01-04,35.16,72.61
2012-01-05,34.99,70.5
2012-01-06,34.8,68.7
2012-01-09,34.36,66.52
2012-01-10,34.0,64.37
2012-01-11,33.43,62.31
2012-01-12,32.28,60.5
2012-01-13,31.29,58.88
2012-01-16,30.35,57.06
2012-01-17,29.48,55.72
2012-01-18,28.78,54.17
2012-01-19,28.02,53.04
2012-01-20,27.14,52.37
2012-01-23,26.54,52.43
2012-01-24,25.27,52.06
2012-01-25,23.81,51.08
2012-01-26,22.44,50.53
2012-01-27,20.98,50.44
2012-01-30,19.63,50.15
2012-01-31,18.46,49.71
2012-02-01,17.08,48.94
2012-02-02,15.97,48.24
2012-02-03,14.87,47.34
2012-02-06,13.93,46.79
2012-02-07,12.95,45.94
2012-02-08,11.94,45.47
2012-02-09,10.98,43.93
2012-02-10,10.36,42.53
2012-02-13,10.2,41.72
2012-02-14,10.54,40.97
2012-02-15,11.2,40.13
2012-02-16,12.17,39.36
2012-02-17,13.25,38.76
2012-02-20,14.13,38.38
2012-02-21,14.83,37.93
2012-02-22,15.43,37.91
2012-02-23,16.39,37.77
2012-02-24,17.21,37.48
2012-02-27,17.89,37.15
2012-02-28,18.38,37.4
2012-02-29,19.21,37.68
2012-03-01,19.67,37.76
2012-03-02,19.64,37.73
2012-03-05,19.2,37.54
2012-03-06,18.18,37.67
2012-03-07,17.32,37.8
2012-03-08,17.2,37.75
2012-03-09,16.29,37.77
2012-03-12,16.23,37.68
