date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1982-01-20,,,,,,,14.812,
1982-01-21,,,,,,,14.622,
1982-01-22,,,,,,,14.692,
1982-01-25,,,,,,,14.622,
1982-01-26,,,,,,,14.542,
1982-01-27,,,,,,,14.512,
1982-01-28,,,,,,,14.292,
1982-01-29,,,,,,,14.142,
1982-02-01,,,,,,,14.582,
1982-02-02,,,,,,,14.472,
1982-02-03,,,,,,,14.692,
1982-02-04,,,,,,,14.762,
1982-02-05,,,,,,,14.652,
1982-02-08,,,,,,,14.882,
1982-02-09,,,,,,,14.952,
1982-02-10,,,,,,,14.812,
1982-02-11,,,,,,,14.712,
1982-02-16,,,,,,,14.532,
1982-02-17,,,,,,,14.502,
1982-02-18,,,,,,,14.282,
1982-02-19,,,,,,,14.242,
1982-02-22,,,,,,,13.872,
1982-02-23,,,,,,,13.932,
1982-02-24,,,,,,,13.872,
1982-02-25,,,,,,,13.912,
1982-02-26,,,,,,,14.032,
1982-03-01,,,,,,,13.852,
1982-03-02,,,,,,,13.742,
1982-03-03,,,,,,,13.692,
1982-03-04,,,,,,,13.612,
1982-03-05,,,,,,,13.592,
1982-03-08,,,,,,,13.672,
1982-03-09,,,,,,,13.692,
1982-03-10,,,,,,,13.732,
1982-03-11,,,,,,,13.952,
1982-03-12,,,,,,,13.972,
1982-03-15,,,,,,,13.962,
1982-03-16,,,,,,,13.912,
1982-03-17,,,,,,,13.882,
1982-03-18,,,,,,,13.872,
1982-03-19,,,,,,,13.892,
1982-03-22,,,,,,,13.742,
1982-03-23,,,,,,,13.722,
1982-03-24,,,,,,,13.912,
1982-03-25,,,,,,,13.902,
1982-03-26,,,,,,,14.012,
1982-03-29,,,,,,,14.162,
1982-03-30,,,,,,,14.192,
1982-03-31,,,,,,,14.182,
1982-04-01,,,,,,,14.102,
1982-04-02,,,,,,,14.102,
1982-04-05,,,,,,,14.162,
1982-04-06,,,,,,,14.182,
1982-04-07,,,,,,,14.182,
1982-04-08,,,,,,,13.982,
1982-04-12,,,,,,,13.832,
1982-04-13,,,,,,,13.832,
1982-04-14,,,,,,,13.952,
1982-04-15,,,,,,,13.912,
1982-04-16,,,,,,,13.712,
1982-04-19,,,,,,,13.662,
1982-04-20,,,,,,,13.722,
1982-04-21,,,,,,,13.692,
1982-04-22,,,,,,,13.712,
1982-04-23,,,,,,,13.692,
1982-04-26,,,,,,,13.702,
1982-04-27,,,,,,,13.702,
1982-04-28,,,,,,,13.772,
1982-04-29,,,,,,,13.872,
1982-04-30,,,,,,,13.872,
1982-05-03,,,,,,,13.952,
1982-05-04,,,,,,,13.872,
1982-05-05,,,,,,,13.802,
1982-05-06,,,,,,,13.542,
1982-05-07,,,,,,,13.482,
1982-05-10,,,,,,,13.492,
1982-05-11,,,,,,,13.462,
1982-05-12,,,,,,,13.592,
